country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,4.5,5.6,3.3,8.4,10,12,31,4.9,21,6.5,13,3.2,11,4.9,1.6,11,8.1,1.6,6.4,16,47
Denmark,13,11,8.6,8.3,7.6,8.4,7.2,7.5,6.9,6.1,6.9,7.4,7,6.7,5.9,6.5,5.9,5.1,5.4,5.2,4.9
Dominican Republic,78,69,58,68,63,69,62,56,57,56,51,55,54,55,54,55,51,46,45,42,41
Algeria,75,73,74,76,76,80,79,78,74,77,78,73,73,68,72,75,70,70,69,61,59
Ecuador,68,58,55,64,58,40,41,43,42,40,40,42,44,42,40,39,40,43,44,46,48
Egypt,26,25,24,23,22,21,21,20,19,19,18,17,17,16,15,15,14,13,12,12,11
Eritrea,177,175,173,299,257,209,171,200,160,154,149,157,160,144,119,102,108,99,89,86,81
Spain,23,19,20,27,16,19,20,19,19,18,17,16,14,13,12,9.9,12,11,11,10,7.3
Estonia,65,59,52,49,45,41,36,39,34,31,25,25,23,23,21,18,16,15,13,13,10
Ethiopia,421,409,393,376,358,341,325,310,296,282,268,253,239,224,207,192,177,164,151,140,132
Finland,12,10,9.9,8.7,7,7.4,6.1,6.5,7.2,8.7,6.6,6.7,5.5,5.6,5.3,5.6,4.7,4.9,4.8,4.7,3.6
Fiji,22,28,23,28,20,20,17,14,16,21,27,31,30,37,55,52,45,51,54,66,66
France,13,12,12,12,10,9.9,9.8,11,11,9.5,9.2,9,9,8.9,8.5,8.4,8.7,9,8.9,9,8.2
"Micronesia, Fed. Sts.",106,121,148,124,138,115,123,168,198,180,199,179,172,180,219,119,169,156,108,100,75
Gabon,515,548,574,590,596,592,576,572,567,563,559,554,550,546,541,537,533,529,525,521,527
UK,12,11,13,13,13,15,15,15,15,15,14,15,14,13,11,10,9.8,8.8,8,8,6.9
Georgia,254,243,228,210,192,175,161,149,140,133,127,122,119,116,106,99,92,86,80,74,70
Ghana,216,214,212,209,206,203,199,196,191,187,183,178,173,168,165,160,156,152,148,144,143
Guinea,228,224,221,218,214,210,206,200,195,190,186,183,180,177,177,177,176,176,176,176,179
